##  Shared Name File  Ver. 1.1
##  File created by:  GE FANUC -- CIMPLICITY  Ver. 6.10 Build 5590
##  File created at:  09:42:16  on  05/27/2026.
## 
PT_ID,ACCESS,ACCESS_FILTER,ACK_TIMEOUT,ADDR,ADDR_OFFSET,ADDR_TYPE,ALM_CLASS,ALM_CRITERIA,ALM_DEADBAND,ALM_DELAY,ALM_ENABLE,ALM_HIGH_1,ALM_HIGH_2,ALM_HLP_FILE,ALM_LOW_1,ALM_LOW_2,ALM_MSG,ALM_ROUTE_OPER,ALM_ROUTE_SYSMGR,ALM_ROUTE_USER,ALM_SEVERITY,ALM_STR,ALM_TYPE,ALM_UPDATE_VALUE,ANALOG_DEADBAND,BFR_COUNT,BFR_DUR,BFR_EVENT_PERIOD,BFR_EVENT_PT_ID,BFR_EVENT_TYPE,BFR_EVENT_UNITS,BFR_GATE_COND,BFR_SYNC_TIME,CALC_TYPE,CONV_LIM_HIGH,CONV_LIM_LOW,CONV_TYPE,DELAY_LOAD,DELETE_REQ,DESC,DEVIATION_PT,DEVICE_ID,DISP_LIM_HIGH,DISP_LIM_LOW,DISP_TYPE,DISP_WIDTH,ELEMENTS,ENG_UNITS,ENUM_ID,EQUATION,EXTRA,FW_CONV_EQ,GR_SCREEN,INIT_VAL,JUSTIFICATION,LEVEL,LOCAL,LOG_ACK,LOG_DATA,LOG_DEL,LOG_GEN,LOG_RESET,MAX_STACKED,MEASUREMENT_UNIT_ID,MISC_FLAGS,POLL_AFTER_SET,PRECISION,PROC_ID,PTMGMT_PROC_ID,PT_ENABLED,PT_ORIGIN,PT_SET_INTERVAL,PT_SET_TIME,PT_TYPE,RANGE_HIGH,RANGE_LOW,RAW_LIM_HIGH,RAW_LIM_LOW,REP_TIMEOUT,RESET_ALLOWED,RESET_COND,RESET_PT,RESET_TIMEOUT,RESOURCE_ID,REV_CONV_EQ,ROLLOVER_VAL,SAFETY_PT,SAMPLE_INTV,SAMPLE_INTV_UNIT,SCAN_RATE,SETPOINT_HIGH,SETPOINT_LOW,TIME_OF_DAY,TRIG_CK_PT,TRIG_PT,TRIG_REL,TRIG_VAL,UAFSET,UPDATE_CRITERIA,VARIANCE_VAL,VARS
## 
AFT_DRAFT,R,,,%R00111,0,FQ,,,,0,,,,,,,,,,,0,1,,0,0,0,0,0,,1,0,0,0,,,,CS,0,,AFT Draft,,TLIPLC,,,f,,1,,,,0,%P/10.0,,,LEFT,0,,,0,,,,,,00,1,,,,1,D,,,INT,,,,,,,,,,TLI_SYSTEM,,,,0,,1,,,,,,NO,,,OC,,1
AFT_DRAFT_SETPOINT,W,,,%R00113,0,FQ,,,,0,,,,,,,,,,,0,1,,0,0,0,0,0,,1,0,0,0,,,,NO,0,,FWD Draft Offset Set Point,,TLIPLC,,,d,,1,,,,0,,,,LEFT,0,,,1,,,,,,00,1,,,,1,D,,,INT,,,,,,,,,,TLI_SETPOINT,,,,0,,1,,,,,,NO,,,OC,,1
AFT_DRAFT_TANK_AMP_ZERO,W,,,%R01300,0,FQ,,,,0,,,,,,,,,,,0,1,,0,0,0,0,0,,1,0,0,0,,,,NO,0,,Aft Draft Tank Current Adjust,,TLIPLC,,,f,,1,,,,0,,,,RIGHT,0,,,0,,,,,,00,1,6,,,1,D,,,REAL,,,,,,,,,,TLI_SETPOINT,,,,0,,1,,,,,,NO,,,OC,,1
AFT_DRAFT_TANK_CURRENT,R,,,%R01500,0,FQ,,,,0,,,,,,,,,,,0,1,,0,0,0,0,0,,1,0,0,0,,,,NO,0,,Aft Draft Tank Current,,TLIPLC,,,f,,1,,,,0,,,,RIGHT,0,,,0,,,,,,00,1,6,,,1,D,,,REAL,,,,,,,,,,TLI_SYSTEM,,,,0,,1,,,,,,NO,,,OC,,1
AFT_DRAFT_TANK_SCALE,W,,,%R01700,0,FQ,,,,0,,,,,,,,,,,0,1,,0,0,0,0,0,,1,0,0,0,,,,NO,0,,Aft Draft Tank Scale,,TLIPLC,,,f,,1,,,,0,,,,RIGHT,0,,,0,,,,,,00,1,6,,,1,D,,,REAL,,,,,,,,,,TLI_SETPOINT,,,,0,,1,,,,,,NO,,,OC,,1
AGEN_BAT_CHARGER,W,,-1,%M3182,0,FQ,AGEN,ABS,,0,1,,1,\AGEN_BAT_CHARGER,,,Aft Generator Battery Charger Fail,1,1,1,100,1,AL,0,0,0,0,0,,1,0,0,0,,,,NO,0,AR,Aft Generator Battery Charger Fail,,ALARMPLC,,,d,,1,,,,0,,,,LEFT,0,,1,0,1,1,1,0,,00,1,,,,1,D,,,BOOL,1,0,,,-1,0,,,-1,$MAC_FR,,,,0,,1,,,,,,NO,,,OC,,1
AGEN_BAT_VOLTAGE,W,,-1,%M3183,0,FQ,AGEN,ABS,,0,1,,1,\AGEN_BAT_VOLTAGE,,,Aft Generator Battery Voltage Low,1,1,1,100,1,AL,0,0,0,0,0,,1,0,0,0,,,,NO,0,AR,Aft Generator Battery Voltage Low,,ALARMPLC,,,d,,1,,,,0,,,,LEFT,0,,1,0,1,1,1,0,,00,1,,,,1,D,,,BOOL,1,0,,,-1,0,,,-1,$MAC_FR,,,,0,,1,,,,,,NO,,,OC,,1
AGEN_JACKET_WTR_LVL,W,,-1,%M3179,0,FQ,AGEN,ABS,,0,1,,1,\AGEN_JACKET_WTR_LVL,,,Aft Generator Jacket Water Level Low,1,1,1,100,1,AL,0,0,0,0,0,,1,0,0,0,,,,NO,0,AR,Aft Generator Jacket Water Level Low,,ALARMPLC,,,d,,1,,,,0,,,,LEFT,0,,1,0,1,1,1,0,,00,1,,,,1,D,,,BOOL,1,0,,,-1,0,,,-1,$MAC_FR,,,,0,,1,,,,,,NO,,,OC,,1
AGEN_JACKET_WTR_TEMP,W,,-1,%M3180,0,FQ,AGEN,ABS,,0,1,,1,\AGEN_JACKET_WTR_TEMP,,,Aft Generator Jacket Water Temp High,1,1,1,100,1,AL,0,0,0,0,0,,1,0,0,0,,,,NO,0,AR,Aft Generator Jacket Water Temp High,,ALARMPLC,,,d,,1,,,,0,,,,LEFT,0,,1,0,1,1,1,0,,00,1,,,,1,D,,,BOOL,,,,,-1,0,,,-1,$MAC_FR,,,,0,SEC,1,,,,,,NO,,,OC,,1
