Name,DataType,Description,DataTypeID,Retentive,Force2,DisplayFormat,ArrayDimension1,ArrayDimension2,Publish,MarkAsUsed,MaxLength,InitialValue,DataSource,DataSourceClsid,IOAddress,IOAddressOffset,IOAddressAlias,Input_VTL,Output_VTL,extra_properties
AFT_DRAFT,INT,Aft Draft,,YES,,Decimal,0,0,False,NO,16,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%AI0138,,,,,
AFT_DRAFT_AI_TEMP,INT,,,YES,,Decimal,0,0,False,NO,16,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R01900,,,,,
AFT_DRAFT_AMP_ZERO,REAL,,,YES,,General format,0,0,False,NO,7,0.0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R01300,,,,,
AFT_DRAFT_CURRENT,REAL,,,YES,,General format,0,0,False,NO,7,0.0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R01500,,,,,
AFT_DRAFT_INCHES,INT,,,YES,,Decimal,0,0,False,NO,16,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R00111,,,,,
AFT_DRAFT_SCALE,REAL,,,YES,,General format,0,0,False,NO,7,0.0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R01700,,,,,
AFT_DRAFT_SETPOINT,WORD,,,YES,,Decimal,0,0,False,NO,16,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R00113,,,,,
AI0137,INT,,,YES,,Decimal,0,0,False,NO,16,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%AI0137,,,,,
ALM_ECOPC1_ACKN,BOOL,Cimplicity Alarm Acknowlege,,YES,,On / Off,0,0,False,NO,,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%G00479,,,,,
ALM_ECOPC2_ACKN,BOOL,Cimplicity Alarm Acknowlege,,YES,,On / Off,0,0,False,NO,,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%G00480,,,,,
BS_1P_OFFSET,INT,,,YES,,Decimal,0,0,False,NO,16,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R00024,,,,,
BS_1P_TANK_AI_TEMP,INT,,,YES,,Decimal,0,0,False,NO,16,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R01846,,,,,
BS_1P_TANK_AMP_ZERO,REAL,,,YES,,General format,0,0,False,NO,7,0.0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R01246,,,,,
BS_1P_TANK_CURRENT,REAL,,,YES,,General format,0,0,False,NO,7,0.0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R01446,,,,,
BS_1P_TANK_GRAVITY,REAL,Ballast #1-P Tank Gravity,,YES,,General format,0,0,False,NO,7,0.0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R00546,,,,,
BS_1P_TANK_INCH,INT,Ballast #1-P Tank Inches,,YES,,Decimal,0,0,False,NO,16,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R00646,,,,,
BS_1P_TANK_INCHES,INT,BS #1-P Tank Level,,YES,,Decimal,0,0,False,NO,16,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%AI0013,,,,,
BS_1P_TANK_LEVEL,DINT,Ballast #1-P Tank Volume ,,YES,,Decimal,0,0,False,NO,32,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R00346,,,,,
BS_1P_TANK_MAX_INCH,INT,Ballast #1-P Tank Max Inch ,,YES,,Decimal,0,0,False,NO,16,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R00746,,,,,
BS_1P_TANK_MAX_VOL,DINT,Ballast #1-P Tank Max Vol,,YES,,Decimal,0,0,False,NO,32,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R00846,,,,,
BS_1P_TANK_PERCENT,INT,Ballast #1-P Tank Percentage,,YES,,Decimal,0,0,False,NO,16,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R00446,,,,,
BS_1P_TANK_SCALE,REAL,,,YES,,General format,0,0,False,NO,7,0.0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R01646,,,,,
BS_1P_TANK_TABLE,WORD,Ballast #1-P Tank Volume,,YES,,Decimal,300,0,False,NO,16,"82, 122, 163, 206, 250, 297, 345, 394, 445, 497, 550, 604, 657, 705, 755, 804, 854, 904, 955, 1005, 1055, 1105, 1155, 1205, 1254, 1304, 1353, 1402, 1451, 1500, 1549, 1597, 1646, 1694, 1742, 1790, ",GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},<Symbolic>,,,,,
BS_1P_TANK_TABLE[000],WORD,Ballast #1-P Tank Volume @ 0,,YES,,Decimal,0,0,False,NO,16,82,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},<Symbolic>,,,,,
BS_1P_TANK_TABLE[001],WORD,Ballast #1-P Tank Volume @ 1,,YES,,Decimal,0,0,False,NO,16,122,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},<Symbolic>,,,,,
BS_1P_TANK_TABLE[002],WORD,Ballast #1-P Tank Volume @ 2,,YES,,Decimal,0,0,False,NO,16,163,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},<Symbolic>,,,,,
BS_1P_TANK_TABLE[003],WORD,Ballast #1-P Tank Volume @ 3,,YES,,Decimal,0,0,False,NO,16,206,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},<Symbolic>,,,,,
BS_1P_TANK_TABLE[004],WORD,Ballast #1-P Tank Volume @ 4,,YES,,Decimal,0,0,False,NO,16,250,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},<Symbolic>,,,,,
BS_1P_TANK_TABLE[005],WORD,Ballast #1-P Tank Volume @ 5,,YES,,Decimal,0,0,False,NO,16,297,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},<Symbolic>,,,,,
BS_1P_TANK_TABLE[006],WORD,Ballast #1-P Tank Volume @ 6,,YES,,Decimal,0,0,False,NO,16,345,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},<Symbolic>,,,,,
BS_1P_TANK_TABLE[007],WORD,Ballast #1-P Tank Volume @ 7,,YES,,Decimal,0,0,False,NO,16,394,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},<Symbolic>,,,,,
BS_1P_TANK_TABLE[008],WORD,Ballast #1-P Tank Volume @ 8,,YES,,Decimal,0,0,False,NO,16,445,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},<Symbolic>,,,,,
BS_1P_TANK_TABLE[009],WORD,Ballast #1-P Tank Volume @ 9,,YES,,Decimal,0,0,False,NO,16,497,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},<Symbolic>,,,,,
BS_1P_TANK_TABLE[010],WORD,Ballast #1-P Tank Volume @ 10,,YES,,Decimal,0,0,False,NO,16,550,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},<Symbolic>,,,,,
BS_1P_TANK_TABLE[011],WORD,Ballast #1-P Tank Volume @ 11,,YES,,Decimal,0,0,False,NO,16,604,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},<Symbolic>,,,,,
BS_1P_TANK_TABLE[012],WORD,Ballast #1-P Tank Volume @ 12,,YES,,Decimal,0,0,False,NO,16,657,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},<Symbolic>,,,,,
BS_1P_TANK_TABLE[013],WORD,Ballast #1-P Tank Volume @ 13,,YES,,Decimal,0,0,False,NO,16,705,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},<Symbolic>,,,,,
BS_1P_TANK_TABLE[014],WORD,Ballast #1-P Tank Volume @ 14,,YES,,Decimal,0,0,False,NO,16,755,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},<Symbolic>,,,,,
BS_1P_TANK_TABLE[015],WORD,Ballast #1-P Tank Volume @ 15,,YES,,Decimal,0,0,False,NO,16,804,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},<Symbolic>,,,,,
BS_1P_TANK_TABLE[016],WORD,Ballast #1-P Tank Volume @ 16,,YES,,Decimal,0,0,False,NO,16,854,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},<Symbolic>,,,,,
BS_1P_TANK_TABLE[017],WORD,Ballast #1-P Tank Volume @ 17,,YES,,Decimal,0,0,False,NO,16,904,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},<Symbolic>,,,,,
BS_1P_TANK_TABLE[018],WORD,Ballast #1-P Tank Volume @ 18,,YES,,Decimal,0,0,False,NO,16,955,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},<Symbolic>,,,,,
BS_1P_TANK_TABLE[019],WORD,Ballast #1-P Tank Volume @ 19,,YES,,Decimal,0,0,False,NO,16,1005,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},<Symbolic>,,,,,
BS_1P_TANK_TABLE[020],WORD,Ballast #1-P Tank Volume @ 20,,YES,,Decimal,0,0,False,NO,16,1055,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},<Symbolic>,,,,,
BS_1P_TANK_TABLE[021],WORD,Ballast #1-P Tank Volume @ 21,,YES,,Decimal,0,0,False,NO,16,1105,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},<Symbolic>,,,,,
